#Id	SuperClass	RefName
1.4.2.11.1	Musicology	Music history|Historical musicology
1.4.2.11.2	Musicology	Systematic musicology
1.4.2.11.3	Musicology	Ethnomusicology
1.4.2.12	Music	Performance
1.4.2.12.1	Performance	Organ (music)|Organ
1.4.2.12.2	Performance	Piano
1.4.2.12.3	Performance	String instrument|Strings
1.4.2.12.4	Performance	Singing
1.4.2.12.5	Performance	Woodwind instrument|Woodwinds
1.4.2.13	Music	Recording
1.4.2.14	Music	Orchestra|Orchestral studies
1.4.3	Arts	Dance
1.4.3.1	Dance	Choreography
1.4.3.2	Dance	Dance notation
1.4.3.3	Dance	Ethnochoreology
1.4.3.4	Dance	History of dance
1.4.4	Arts	Theatre
1.4.4.1	Theatre	History of theater|History
1.4.4.2	Theatre	Acting
1.4.4.3	Theatre	Theatre director|Directing
1.4.4.4	Theatre	Scenic design|Stage design
1.4.4.5	Theatre	Dramaturgy
1.4.4.6	Theatre	Playwrighting
1.4.4.7	Theatre	Scenography
1.4.4.8	Theatre	Musical theatre
1.4.5	Arts	Film studies|Film
1.4.5.1	Film studies|Film	Animation
1.4.5.2	Film studies|Film	Live-action
1.4.5.3	Film studies|Film	Filmmaking
1.4.5.4	Film studies|Film	Film criticism
1.4.5.5	Film studies|Film	Film theory
1.4.6	Arts	Oral literature
1.4.6.1	Oral literature	Public speaking
1.4.6.2	Oral literature	Performance poetry
1.4.6.3	Oral literature	Storytelling
1.4.7	Arts	Animation
1.4.8	Arts	Architecture
1.4.9	Arts	Design
1.4.9.1	Design	Video game design
1.4.9.2	Design	Product design
1.4.9.3	Design	Software design
1.4.9.4	Design	Web design
1.4.10	Arts	Drawing
1.4.11	Arts	Painting
1.4.12	Arts	Filmmaking
1.4.13	Arts	Photography
1.4.14	Arts	Sculpture
1.4.15	Arts	Industrial design
1.4.16	Arts	Graphic design
1.4.17	Arts	Fashion Design|Fashion design
1.4.18	Arts	Interior design
1.4.19	Arts	Decorative arts
1.4.20	Arts	Culinary art
1.4.21	Arts	Fine arts
1.4.22	Arts	Mixed Media
1.4.23	Arts	Creative arts
1.4.24	Arts	Art history
1.4.25	Arts	Calligraphy
1.4.26	Arts	Printmaking
1.4.27	Arts	Studio art
1.5	Humanities	Philosophy
1.5.1	Philosophy	Meta-philosophy
1.5.2	Philosophy	Metaphysics
1.5.2.1	Metaphysics	Ontology
1.5.2.2	Metaphysics	Teleology
1.5.2.3	Metaphysics	Philosophy of mind
1.5.2.3.1	Philosophy of mind	Philosophy of artificial intelligence
1.5.2.3.2	Philosophy of mind	Philosophy of perception
1.5.2.3.3	Philosophy of mind	Pain (philosophy)|Philosophy of pain
1.5.2.4	Metaphysics	Philosophy of space and time
1.5.2.5	Metaphysics	Action (philosophy)|Philosophy of Action
1.5.2.6	Metaphysics	Theism
1.5.2.7	Metaphysics	Determinism
1.5.3	Philosophy	Epistemology
1.5.3.1	Epistemology	Theory of justification|Justification
1.5.3.2	Epistemology	List of fallacies#Informal fallacies|Reasoning errors
1.5.4	Philosophy	Ethics
1.5.4.1	Ethics	Meta-ethics
1.5.4.2	Ethics	Normative ethics
1.5.4.3	Ethics	Applied ethics
1.5.4.3.1	Applied ethics	Animal rights
1.5.4.3.2	Applied ethics	Bioethics
1.5.4.3.3	Applied ethics	Environmental ethics
1.5.4.4	Ethics	Moral psychology
1.5.5	Philosophy	Aesthetics
1.5.6	Philosophy	Social philosophy
1.5.6.1	Social philosophy	Feminist philosophy
1.5.6.2	Social philosophy	Anarchism
1.5.6.3	Social philosophy	Marxism
1.5.7	Philosophy	Philosophical movement|Philosophical traditions and schools
1.5.7.1	Philosophical movement|Philosophical traditions and schools	African philosophy
1.5.7.2	Philosophical movement|Philosophical traditions and schools	Platonism
1.5.7.3	Philosophical movement|Philosophical traditions and schools	Aristotelianism
1.5.7.4	Philosophical movement|Philosophical traditions and schools	Analytic philosophy
1.5.7.5	Philosophical movement|Philosophical traditions and schools	Continental philosophy
1.5.7.6	Philosophical movement|Philosophical traditions and schools	Eastern philosophy
1.5.7.7	Philosophical movement|Philosophical traditions and schools	Feminist philosophy
1.5.8	Philosophy	History of philosophy
1.5.8.1	History of philosophy	Ancient philosophy
1.5.8.2	History of philosophy	Medieval philosophy
1.5.8.2.1	Medieval philosophy	Scholasticism
1.5.8.2.2	Medieval philosophy	Humanism
1.5.8.3	History of philosophy	Modern philosophy
1.5.8.4	History of philosophy	Contemporary philosophy
1.5.9	Philosophy	Logic
1.5.9.1	Logic	Philosophical logic
1.5.9.2	Logic	Mathematical logic
1.5.10	Philosophy	Philosophy#Applied philosophy|Applied philosophy
1.5.10.1	Philosophy#Applied philosophy|Applied philosophy	Philosophy of education
1.5.10.2	Philosophy#Applied philosophy|Applied philosophy	Philosophy of history
1.5.10.3	Philosophy#Applied philosophy|Applied philosophy	Philosophy of religion
1.5.10.4	Philosophy#Applied philosophy|Applied philosophy	Philosophy of language
1.5.10.5	Philosophy#Applied philosophy|Applied philosophy	Philosophy of law
1.5.10.6	Philosophy#Applied philosophy|Applied philosophy	Philosophy of mathematics
1.5.10.7	Philosophy#Applied philosophy|Applied philosophy	Philosophy of music
1.5.10.8	Philosophy#Applied philosophy|Applied philosophy	Philosophy of science
1.5.10.8.1	Philosophy of science	Philosophy of social science
1.5.10.8.2	Philosophy of science	Philosophy of physics
1.5.10.8.3	Philosophy of science	Philosophy of biology
1.5.10.8.4	Philosophy of science	Philosophy of chemistry
1.5.10.8.5	Philosophy of science	Philosophy and economics|Philosophy of economics
1.5.10.8.6	Philosophy of science	Philosophy of psychology
1.5.10.9	Philosophy#Applied philosophy|Applied philosophy	Philosophy of engineering
1.5.10.10	Philosophy#Applied philosophy|Applied philosophy	Systems philosophy
1.6	Humanities	Religion
1.6.1	Religion	Abrahamic religions
1.6.1.1	Abrahamic religions	Baha'i Faith
1.6.1.2	Abrahamic religions	Christianity
1.6.1.2.1	Christianity	Christian theology
1.6.1.2.1.1	Christian theology	Biblical theology|Bibliology
1.6.1.2.1.2	Christian theology	Hermeneutics
1.6.1.2.1.3	Christian theology	Theology Proper
1.6.1.2.1.3.1	Theology Proper	Christology
1.6.1.2.1.3.2	Theology Proper	Pneumatology
1.6.1.2.1.3.3	Theology Proper	Demonology
1.6.1.2.1.4	Christian theology	Theological anthropology
1.6.1.2.1.5	Christian theology	Soteriology
1.6.1.2.1.6	Christian theology	Biblical law in Christianity|Nomology
1.6.1.2.1.7	Christian theology	Ecclesiology
1.6.1.2.1.8	Christian theology	Eschatology
1.6.1.2.1.9	Christian theology	Christian ethics
1.6.1.3	Abrahamic religions	Islam
1.6.1.4	Abrahamic religions	Judaism
1.6.2	Religion	Indian religions
1.6.2.1	Indian religions	Buddhism
1.6.2.2	Indian religions	Hinduism
1.6.2.3	Indian religions	Jainism
1.6.2.4	Indian religions	Sikhism
1.6.3	Religion	East Asian religions
1.6.3.1	East Asian religions	Chinese folk religion
1.6.3.2	East Asian religions	Confucianism
1.6.3.3	East Asian religions	Shinto
1.6.3.4	East Asian religions	Daoism
1.6.3.5	East Asian religions	I-Kuan Tao
1.6.3.6	East Asian religions	Caodaism
1.6.3.7	East Asian religions	Chondogyo
1.6.3.8	East Asian religions	Tenrikyo
1.6.3.9	East Asian religions	Oomoto
1.6.4	Religion	Other religions
1.6.4.1	Other religions	Religion in Africa|African religions
1.6.4.2	Other religions	Ancient Egyptian religion
1.6.4.3	Other religions	Indigenous peoples of the Americas|Native American religions
1.6.4.4	Other religions	Gnosticism
1.6.4.5	Other religions	Western Esotericism (academia)|Esotericism
1.6.4.6	Other religions	New religious movements
1.6.4.7	Other religions	Sumerian religion
1.6.4.8	Other religions	Zoroastrianism
1.6.5	Religion	Comparative religion
1.6.6	Religion	Mythology
1.6.7	Religion	Irreligion
1.6.7.1	Irreligion	Agnostic
1.6.7.2	Irreligion	Atheism
2	Social sciences	Social sciences
2.1	Social sciences	Anthropology
2.1.1	Anthropology	Biological anthropology
2.1.1.1	Biological anthropology	Forensic anthropology
2.1.1.2	Biological anthropology	Dual inheritance theory|Gene-culture coevolution
2.1.1.3	Biological anthropology	Human behavioral ecology
2.1.1.4	Biological anthropology	Human evolution
2.1.1.5	Biological anthropology	Medical anthropology
2.1.1.6	Biological anthropology	Paleoanthropology
2.1.1.7	Biological anthropology	Population genetics
2.1.1.8	Biological anthropology	Primatology
2.1.2	Anthropology	Anthropological linguistics
2.1.2.1	Anthropological linguistics	Descriptive linguistics|Synchronic linguistics
2.1.2.2	Anthropological linguistics	Diachronic linguistics
2.1.2.3	Anthropological linguistics	Ethnolinguistics
2.1.2.4	Anthropological linguistics	Sociolinguistics
2.1.3	Anthropology	Cultural anthropology
2.1.3.1	Cultural anthropology	Anthropology of religion
2.1.3.2	Cultural anthropology	Economic anthropology
2.1.3.3	Cultural anthropology	Ethnography
2.1.3.4	Cultural anthropology	Ethnohistory
2.1.3.5	Cultural anthropology	Ethnology
2.1.3.6	Cultural anthropology	Ethnomusicology
2.1.3.7	Cultural anthropology	Folklore
2.1.3.8	Cultural anthropology	Mythology
2.1.3.9	Cultural anthropology	Missiology
2.1.3.10	Cultural anthropology	Political anthropology
2.1.3.11	Cultural anthropology	Psychological anthropology
2.2	Social sciences	Archaeology
2.2.1	Archaeology	Classical archaeology
2.2.2	Archaeology	Egyptology
2.2.3	Archaeology	Architectural Analytics
2.2.4	Archaeology	Experimental archaeology
2.2.5	Archaeology	Maritime archaeology
2.2.6	Archaeology	Near Eastern archaeology
2.2.7	Archaeology	Paleoanthropology
2.2.8	Archaeology	Prehistoric archaeology
2.3	Social sciences	Area studies
2.3.1	Area studies	African studies
2.3.2	Area studies	American studies
2.3.2.1	American studies	Appalachian studies
2.3.2.2	American studies	Canadian studies
2.3.2.3	American studies	Latin American studies
2.3.3	Area studies	Asian studies
2.3.3.1	Asian studies	Indology
2.3.3.2	Asian studies	Iranian studies
2.3.3.3	Asian studies	Japanology
2.3.3.4	Asian studies	Korean studies
2.3.3.5	Asian studies	Pakistan studies
2.3.3.6	Asian studies	Sinology
2.3.3.7	Asian studies	Southeast Asian studies
2.3.4	Area studies	European studies
2.3.4.1	European studies	Celtic studies
2.3.4.2	European studies	German studies
2.3.4.3	European studies	Scandinavian studies
2.3.4.4	European studies	Slavic studies
2.3.5	Area studies	Australian studies
2.3.6	Area studies	Middle East studies
2.4	Social sciences	Cultural and ethnic studies
2.4.1	Cultural and ethnic studies	Asian studies
2.4.2	Cultural and ethnic studies	Asian American studies
2.4.3	Cultural and ethnic studies	Black studies
2.4.4	Cultural and ethnic studies	Chicano studies
2.4.5	Cultural and ethnic studies	Childhood studies
2.4.6	Cultural and ethnic studies	Disability studies
2.4.7	Cultural and ethnic studies	Latino studies
2.4.8	Cultural and ethnic studies	Native American studies
2.4.9	Cultural and ethnic studies	Deaf Studies
2.5	Social sciences	Economics
2.5.1	Economics	Agricultural economics
2.5.2	Economics	Anarchist economics
2.5.3	Economics	Behavioral economics
2.5.4	Economics	Bioeconomics (biophysical)|Bioeconomics
2.5.5	Economics	Complexity economics
2.5.6	Economics	Computational economics
2.5.7	Economics	Consumer economics
2.5.8	Economics	Development economics
2.5.9	Economics	Ecological economics
2.5.10	Economics	Econometrics
2.5.11	Economics	Economic geography
2.5.12	Economics	Economic history
2.5.13	Economics	Economic sociology
2.5.14	Economics	Economic systems
2.5.15	Economics	Energy economics
2.5.16	Economics	Entrepreneurial economics
2.5.17	Economics	Environmental economics
2.5.18	Economics	Evolutionary economics
2.5.19	Economics	Experimental economics
2.5.20	Economics	Feminist economics
2.5.21	Economics	Financial economics
2.5.22	Economics	Financial econometrics
2.5.23	Economics	Green economics
2.5.24	Economics	Economic growth|Growth economics
2.5.25	Economics	Human development theory
2.5.26	Economics	Industrial organization
2.5.27	Economics	Information economics
2.5.28	Economics	Institutional economics
2.5.29	Economics	International economics
2.5.30	Economics	Islamic economics
2.5.31	Economics	Labor economics
2.5.32	Economics	Law and economics
2.5.33	Economics	Macroeconomics
2.5.34	Economics	Managerial economics
2.5.35	Economics	Marxian economics
2.5.36	Economics	Mathematical economics
2.5.37	Economics	Microeconomics
2.5.38	Economics	Monetary economics
2.5.39	Economics	Neuroeconomics
2.5.40	Economics	Participatory Economics
2.5.41	Economics	Political economy
2.5.42	Economics	Public finance
2.5.43	Economics	Public economics
2.5.44	Economics	Real estate economics
2.5.45	Economics	Resource economics
2.5.46	Economics	Social choice theory
2.5.47	Economics	Socialist economics
2.5.48	Economics	Socioeconomics
2.5.49	Economics	Transport economics
2.5.50	Economics	Welfare economics
2.6	Social sciences	Gender and sexuality studies
2.6.1	Gender and sexuality studies	Feminine psychology
2.6.2	Gender and sexuality studies	Gender studies
2.6.3	Gender and sexuality studies	Heterosexism
2.6.4	Gender and sexuality studies	Human sexual behavior
2.6.5	Gender and sexuality studies	Human sexuality
2.6.6	Gender and sexuality studies	Masculine psychology
2.6.7	Gender and sexuality studies	Men's studies
2.6.8	Gender and sexuality studies	Queer studies
2.6.9	Gender and sexuality studies	Sex education
2.6.10	Gender and sexuality studies	Sexology
2.6.11	Gender and sexuality studies	Women's studies
2.7	Social sciences	Geography
2.7.1	Geography	Cartography
2.7.2	Geography	Human geography
2.7.2.1	Human geography	Cultural geography
2.7.2.1.1	Cultural geography	Feminist geography
2.7.2.2	Human geography	Economic geography
2.7.2.2.1	Economic geography	Development geography
2.7.2.3	Human geography	Historical geography
2.7.2.4	Human geography	Time geography
2.7.2.5	Human geography	Political geography
2.7.2.5.1	Political geography	Military geography
2.7.2.5.2	Political geography	Strategic geography
2.7.2.6	Human geography	Population geography
2.7.2.7	Human geography	Social geography
2.7.2.7.1	Social geography	Behavioral geography
2.7.2.7.2	Social geography	Children's geographies
2.7.2.7.3	Social geography	Health geography
2.7.2.7.4	Social geography	Tourism geography
2.7.2.8	Human geography	Urban geography
2.7.3	Geography	Environmental geography
2.7.4	Geography	Physical geography
2.7.4.1	Physical geography	Biogeography
2.7.4.2	Physical geography	Climatology
2.7.4.2.1	Climatology	Palaeoclimatology
2.7.4.3	Physical geography	Coastal geography
2.7.4.4	Physical geography	Geomorphology
2.7.4.5	Physical geography	Geodesy
2.7.4.6	Physical geography	Hydrology
2.7.4.6.1	Hydrology	Glaciology
2.7.4.6.2	Hydrology	Limnology
2.7.4.6.3	Hydrology	Oceanography
2.7.4.7	Physical geography	Landscape ecology
2.7.4.8	Physical geography	Palaeogeography
2.7.5	Geography	Regional geography
2.7.6	Geography	Remote sensing
2.8	Social sciences	Political science
2.8.1	Political science	American politics
2.8.2	Political science	Canadian politics
2.8.3	Political science	Civics
2.8.4	Political science	Comparative politics
2.8.5	Political science	European Studies
2.8.6	Political science	Geopolitics
2.8.7	Political science	International relations
2.8.8	Political science	International organizations
2.8.9	Political science	Nationalism studies
2.8.10	Political science	Peace and conflict studies
2.8.11	Political science	Policy studies
2.8.12	Political science	Political behavior
2.8.13	Political science	Political culture
2.8.14	Political science	Political economy
2.8.15	Political science	Political history
2.8.16	Political science	Political philosophy
2.8.17	Political science	Psephology
2.8.18	Political science	Public administration
2.8.18.1	Public administration	Nonprofit|Nonprofit administration
2.8.18.2	Public administration	Non-governmental organization|Non-governmental organization (NGO) administration
2.8.19	Political science	Public policy
2.8.20	Political science	Social choice theory
2.9	Social sciences	Psychology
2.9.1	Psychology	Abnormal psychology
2.9.2	Psychology	Applied psychology
2.9.3	Psychology	Biological psychology
2.9.4	Psychology	Clinical psychology
2.9.5	Psychology	Clinical neuropsychology
2.9.6	Psychology	Cognitive psychology
2.9.7	Psychology	Community psychology
2.9.8	Psychology	Comparative psychology
2.9.9	Psychology	Conservation psychology
2.9.10	Psychology	Consumer psychology
2.9.11	Psychology	Counseling psychology
2.9.12	Psychology	Cultural psychology
2.9.13	Psychology	Differential psychology
2.9.14	Psychology	Developmental psychology
2.9.15	Psychology	Educational psychology
2.9.16	Psychology	Environmental psychology
2.9.17	Psychology	Evolutionary psychology
2.9.18	Psychology	Experimental psychology
2.9.19	Psychology	Group dynamics|Group psychology
2.9.20	Psychology	Journal of Family Psychology|Family Psychology
2.9.21	Psychology	Forensic psychology
2.9.22	Psychology	Health psychology
2.9.23	Psychology	Humanistic psychology
2.9.24	Psychology	Legal psychology
2.9.25	Psychology	Media psychology
2.9.26	Psychology	Medical psychology
2.9.27	Psychology	Military psychology
2.9.28	Psychology	Moral psychology
2.9.29	Psychology	Neuropsychology
2.9.30	Psychology	Occupational health psychology
2.9.31	Psychology	Industrial and organizational psychology|Organizational psychology
2.9.32	Psychology	Parapsychology
2.9.33	Psychology	Pediatric psychology
2.9.34	Psychology	Personality psychology
2.9.35	Psychology	Political psychology
2.9.36	Psychology	Positive psychology
2.9.37	Psychology	Psychoanalysis
2.9.38	Psychology	Psychometrics
2.9.39	Psychology	Psychology of religion
2.9.40	Psychology	Psychophysics
2.9.41	Psychology	Quantitative psychology
2.9.42	Psychology	Rehabilitation Psychology (journal)|Rehabilitation Psychology
2.9.43	Psychology	School psychology
2.9.44	Psychology	Social psychology (psychology)|Social psychology
2.9.45	Psychology	Sport psychology
2.10	Social sciences	Sociology
2.10.1	Sociology	Applied sociology
2.10.1.1	Applied sociology	Political sociology
2.10.1.2	Applied sociology	Public sociology
2.10.1.3	Applied sociology	Social engineering (political science)|Social engineering
2.10.1.4	Applied sociology	Leisure studies
2.10.2	Sociology	Collective behavior
2.10.2.1	Collective behavior	Social movements
2.10.3	Sociology	Community informatics
2.10.3.1	Community informatics	Social network analysis
2.10.4	Sociology	Comparative sociology
2.10.5	Sociology	Conflict theory
2.10.6	Sociology	Cultural studies
2.10.7	Sociology	Criminology
2.10.8	Sociology	Critical management studies
2.10.9	Sociology	Demography
2.10.10	Sociology	Environmental sociology
2.10.11	Sociology	Feminist sociology
2.10.12	Sociology	Futures studies
2.10.13	Sociology	Human ecology
2.10.14	Sociology	Humanistic sociology
2.10.15	Sociology	Interactionism
2.10.15.1	Interactionism	Phenomenology (philosophy)|Phenomenology
2.10.15.2	Interactionism	Ethnomethodology
2.10.15.3	Interactionism	Symbolic interactionism
2.10.15.4	Interactionism	Social constructionism
2.10.16	Sociology	Medical sociology
2.10.17	Sociology	Military sociology
2.10.18	Sociology	Organizational studies
2.10.19	Sociology	Science studies
2.10.20	Sociology	Sexology
2.10.21	Sociology	Social capital
2.10.22	Sociology	Social change
2.10.23	Sociology	Social transformation
2.10.24	Sociology	Social control
2.10.24.1	Social control	Pure sociology
2.10.25	Sociology	Social economy
2.10.26	Sociology	Social philosophy
2.10.27	Sociology	Social psychology
2.10.28	Sociology	Social policy
2.10.29	Sociology	Social research
2.10.29.1	Social research	Computational sociology
2.10.29.2	Social research	Economic sociology
2.10.29.2.1	Economic sociology	Economic development
2.10.29.2.2	Economic sociology	Social development
2.10.30	Sociology	Sociology of culture
2.10.31	Sociology	Sociology of deviance
2.10.32	Sociology	Sociology of education
2.10.33	Sociology	Sociology of gender
2.10.34	Sociology	Sociology of the family
2.10.35	Sociology	Sociology of knowledge
2.10.36	Sociology	Sociology of law
2.10.37	Sociology	Sociology of religion
2.10.38	Sociology	Sociology of sport
2.10.39	Sociology	Sociology of work
2.10.40	Sociology	Social theory
2.10.41	Sociology	Social stratification
2.10.42	Sociology	Sociological theory
2.10.43	Sociology	Sociobiology
2.10.44	Sociology	Sociocybernetics
2.10.45	Sociology	Sociolinguistics
2.10.46	Sociology	Urban studies
2.10.47	Sociology	Visual sociology
3	Natural sciences	Natural sciences
3.1	Natural sciences	Biology
3.1.1	Biology	Aerobiology
3.1.2	Biology	Anatomy
3.1.2.1	Anatomy	Comparative anatomy
3.1.2.2	Anatomy	Human anatomy
3.1.3	Biology	Biochemistry
3.1.4	Biology	Bioinformatics
3.1.5	Biology	Biophysics
3.1.6	Biology	Biotechnology
3.1.7	Biology	Botany
3.1.7.1	Botany	Ethnobotany
3.1.7.2	Botany	Phycology
3.1.8	Biology	Cell biology
3.1.9	Biology	Chronobiology
3.1.10	Biology	Computational biology
3.1.11	Biology	Cryobiology
3.1.12	Biology	Developmental biology
3.1.12.1	Developmental biology	Embryology
3.1.12.2	Developmental biology	Teratology
3.1.13	Biology	Ecology
3.1.13.1	Ecology	Agroecology
3.1.13.2	Ecology	Ethnoecology
3.1.13.3	Ecology	Human ecology
3.1.13.4	Ecology	Landscape ecology
3.1.14	Biology	Genetics
3.1.14.1	Genetics	Behavioural genetics
3.1.14.2	Genetics	Molecular genetics
3.1.14.3	Genetics	Population genetics
3.1.15	Biology	Endocrinology
3.1.16	Biology	Evolutionary biology
3.1.17	Biology	Human biology
3.1.18	Biology	Immunology
3.1.19	Biology	Limnology
3.1.20	Biology	Linnaean taxonomy
3.1.21	Biology	Marine biology
3.1.22	Biology	Mathematical biology
3.1.23	Biology	Microbiology
3.1.24	Biology	Molecular biology
3.1.25	Biology	Mycology
3.1.26	Biology	Nutrition
3.1.27	Biology	Neuroscience
3.1.27.1	Neuroscience	Behavioral neuroscience
3.1.28	Biology	Paleobiology
3.1.28.1	Paleobiology	Paleontology
3.1.29	Biology	Parasitology
3.1.30	Biology	Pathology
3.1.31	Biology	Physiology
3.1.31.1	Physiology	Human physiology
3.1.31.1.1	Human physiology	Exercise physiology
3.1.32	Biology	Systematics
3.1.33	Biology	Systems biology
3.1.34	Biology	Virology
3.1.34.1	Virology	Molecular virology
3.1.35	Biology	Xenobiology
3.1.36	Biology	Zoology
3.1.36.1	Zoology	Animal communication
3.1.36.2	Zoology	Apiology
3.1.36.3	Zoology	Arachnology
3.1.36.4	Zoology	Carcinology
3.1.36.5	Zoology	Cetology
3.1.36.6	Zoology	Entomology
3.1.36.7	Zoology	Ethnozoology
3.1.36.8	Zoology	Ethology
3.1.36.9	Zoology	Helminthology
3.1.36.10	Zoology	Herpetology
3.1.36.11	Zoology	Ichthyology
3.1.36.12	Zoology	Mammalogy
3.1.36.13	Zoology	Malacology
3.1.36.13.1	Malacology	Conchology
3.1.36.14	Zoology	Myrmecology
3.1.36.15	Zoology	Nematology
3.1.36.16	Zoology	Neuroethology
3.1.36.17	Zoology	Oology
3.1.36.18	Zoology	Ornithology
3.1.36.19	Zoology	Planktology
3.1.36.20	Zoology	Primatology
3.1.36.21	Zoology	Zootomy
3.1.36.22	Zoology	Zoosemiotics
3.2	Natural sciences	Chemistry
3.2.1	Chemistry	Agrochemistry
3.2.2	Chemistry	Analytical chemistry
3.2.3	Chemistry	Astrochemistry
3.2.4	Chemistry	Atmospheric chemistry
3.2.5	Chemistry	Biochemistry
3.2.6	Chemistry	Chemical engineering
3.2.7	Chemistry	Chemical biology
3.2.8	Chemistry	Cheminformatics
3.2.9	Chemistry	Computational chemistry
3.2.10	Chemistry	Cosmochemistry
3.2.11	Chemistry	Electrochemistry
3.2.12	Chemistry	Environmental chemistry
3.2.13	Chemistry	Femtochemistry
3.2.14	Chemistry	Flavor
3.2.15	Chemistry	Flow chemistry
3.2.16	Chemistry	Geochemistry
3.2.17	Chemistry	Green chemistry
3.2.18	Chemistry	Histochemistry
3.2.19	Chemistry	Hydrogenation
3.2.20	Chemistry	Immunochemistry
3.2.21	Chemistry	Inorganic chemistry
3.2.22	Chemistry	Marine chemistry
3.2.23	Chemistry	Mathematical chemistry
3.2.24	Chemistry	Mechanochemistry
3.2.25	Chemistry	Medicinal chemistry
3.2.26	Chemistry	Molecular biology
3.2.27	Chemistry	Molecular mechanics
3.2.28	Chemistry	Nanotechnology
3.2.29	Chemistry	Natural product chemistry
3.2.30	Chemistry	Neurochemistry
3.2.31	Chemistry	Oenology
3.2.32	Chemistry	Organic chemistry
3.2.33	Chemistry	Organometallic chemistry
3.2.34	Chemistry	Petrochemistry
3.2.35	Chemistry	Pharmacology
3.2.36	Chemistry	Photochemistry
3.2.37	Chemistry	Physical chemistry
3.2.38	Chemistry	Physical organic chemistry
3.2.39	Chemistry	Phytochemistry
3.2.40	Chemistry	Polymer chemistry
3.2.41	Chemistry	Quantum chemistry
3.2.42	Chemistry	Radiochemistry
3.2.43	Chemistry	Solid-state chemistry
3.2.44	Chemistry	Sonochemistry
3.2.45	Chemistry	Supramolecular chemistry
3.2.46	Chemistry	Surface chemistry
3.2.47	Chemistry	Synthetic chemistry
3.2.48	Chemistry	Theoretical chemistry
3.2.49	Chemistry	Thermochemistry
3.3	Natural sciences	Earth sciences
3.3.1	Earth sciences	Edaphology
3.3.2	Earth sciences	Environmental science
3.3.3	Earth sciences	Environmental chemistry
